Time(s),Axial drift (nm)
29.356631,-11.343889
29.454813,-6.266813
29.552996,2.371111
29.651179,-3.488171
29.749361,-9.177149
29.847544,-13.132369
29.945727,-24.232088
30.043909,-9.455708
30.142092,-20.507318
30.240275,-20.099263
30.338458,-6.492858
30.436640,-6.457177
30.534823,-19.783827
30.633006,-6.594836
30.731188,-14.649931
30.829371,-14.905251
30.927554,0.127652
31.025737,-6.930614
31.123919,-1.590410
31.222102,-1.602161
31.320285,-1.411323
31.418467,-2.793372
31.516650,-2.812138
31.614833,-4.677534
31.713016,3.346087
31.811198,-15.282203
31.909381,10.640623
32.007564,3.214654
32.105746,10.208512
32.203929,-12.998602
32.302112,-4.614943
32.400295,-1.237222
32.498477,-5.365263
32.596660,2.803245
32.694843,-12.370036
32.793025,-3.376436
32.891208,-7.402338
32.989391,-2.693471
33.087574,-5.714519
33.185756,5.390207
33.283939,0.030593
33.382122,4.530271
33.480304,5.726573
33.578487,16.713220
33.676670,-10.141550
33.774852,-15.991910
33.873035,3.727749
33.971218,-8.210340
34.069401,-0.042604
34.167583,-0.234606
34.265766,-13.304933
34.363949,-13.224770
34.462131,1.098267
34.560314,-4.021154
34.658497,-0.859805
34.756680,3.801963
34.854862,-13.571714
34.953045,2.610432
35.051228,2.278722
35.149410,2.333006
35.247593,-9.155819
35.345776,-4.350975
35.443959,-14.350740
35.542141,-5.430503
35.640324,-7.778656
35.738507,-2.231855
35.836689,-22.509772
35.934872,-8.245231
36.033055,-10.064626
36.131238,-10.819725
36.229420,-15.552821
36.327603,-19.604161
36.425786,-11.554382
36.523968,-14.667892
36.622151,-18.855422
36.720334,-25.741879
36.818517,-17.826903
36.916699,-13.190052
37.014882,-20.899735
37.113065,-18.159458
37.211247,-20.366761
37.309430,-10.797395
37.407613,-7.449491
37.505796,-12.717075
37.603978,-26.584261
37.702161,-14.283929
37.800344,-6.669202
37.898526,-1.462166
37.996709,-19.830854
38.094892,-14.165169
38.193074,-23.678676
38.291257,4.902556
38.389440,-12.760396
38.487623,-17.171390
38.585805,-23.208492
38.683988,-15.383260
38.782171,-8.876450
38.880353,-11.069116
38.978536,4.261579
39.076719,-2.314257
39.174902,2.085405
39.273084,-21.004571
39.371267,-7.220749
39.469450,-7.146840
39.567632,-4.458755
39.665815,7.685862
39.763998,-0.028055
39.862181,-14.835812
39.960363,-7.816198
40.058546,-8.642630
40.156729,11.008656
40.254911,1.062914
40.353094,-3.685959
40.451277,10.223697
40.549460,6.368023
40.647642,5.997079
40.745825,2.880445
40.844008,6.676805
40.942190,10.707345
41.040373,0.200360
41.138556,-2.660961
41.236739,-4.868241
41.334921,2.296892
41.433104,10.207886
41.531287,10.175204
41.629469,20.300623
41.727652,0.652262
41.825835,9.527663
41.924017,16.375957
42.022200,2.198938
42.120383,9.304910
42.218566,-3.973409
42.316748,3.879206
42.414931,-1.840138
42.513114,-3.670582
42.611296,1.049386
42.709479,-4.793653
42.807662,3.914438
42.905845,4.857638
43.004027,9.990928
43.102210,15.524587
43.200393,10.509488
43.298575,9.419595
43.396758,17.619239
43.494941,14.706022
43.593124,16.673716
43.691306,4.546954
43.789489,9.121141
43.887672,-0.042625
43.985854,-6.622608
44.084037,-10.600462
44.182220,-5.022094
44.280403,-5.783540
44.378585,-4.676940
44.476768,-15.103628
44.574951,-9.658047
44.673133,4.540145
44.771316,-11.261381
44.869499,-10.933882
44.967682,-5.832387
45.065864,-13.529475
45.164047,7.012543
45.262230,1.198229
45.360412,-14.331032
45.458595,-23.287853
45.556778,-17.086319
45.654960,-3.138562
45.753143,-1.122233
45.851326,-7.993864
45.949509,-14.497040
46.047691,-12.124447
46.145874,-7.749962
46.244057,-13.159718
46.342239,-3.478129
46.440422,-25.209553
46.538605,-13.666669
46.636788,0.164971
46.734970,-17.668583
46.833153,-15.058001
46.931336,-23.925761
47.029518,-24.421243
47.127701,-35.852764
47.225884,-18.013996
47.324067,-29.669141
47.422249,-11.075620
47.520432,-11.202788
47.618615,-3.390459
47.716797,-5.835525
47.814980,-13.649304
47.913163,-14.615668
48.011346,0.076427
48.109528,10.492665
48.207711,-11.560502
48.305894,-17.278976
48.404076,-12.435532
48.502259,0.238755
48.600442,-6.942132
48.698625,-10.829759
48.796807,-10.475097
48.894990,1.374985
48.993173,20.014480
49.091355,-4.119851
49.189538,0.881928
49.287721,7.168776
49.385904,10.831672
49.484086,7.869410
49.582269,-0.441375
49.680452,-0.026339
49.778634,-8.208166
49.876817,7.809697
49.975000,14.283437
50.073182,10.115610
50.171365,11.029443
50.269548,7.238909
50.367731,-4.401621
50.465913,-15.963562
50.564096,-6.560880
50.662279,-6.604032
50.760461,-14.760466
50.858644,-23.673348
50.956827,-23.681672
51.055010,-15.960048
51.153192,-17.951954
51.251375,-11.845141
51.349558,-7.496274
51.447740,-6.225501
51.545923,-6.075677
51.644106,-9.282893
51.742289,-11.168120
51.840471,0.321565
51.938654,-2.948164
52.036837,-2.437333
52.135019,-10.104130
52.233202,-6.147815
52.331385,7.801680
52.429568,-2.629412
52.527750,1.914579
52.625933,12.028320
52.724116,14.269402
52.822298,17.737227
52.920481,4.543423
53.018664,6.794892
53.116847,18.946687
53.215029,16.228922
53.313212,18.370783
53.411395,8.409524
53.509577,-8.708871
53.607760,-5.078341
53.705943,3.242308
53.804125,10.482392
53.902308,8.072033
54.000491,-12.378097
54.098674,-3.571827
54.196856,3.240103
54.295039,11.696201
54.393222,13.125412
54.491404,-0.960002
54.589587,5.898588
54.687770,8.466763
54.785953,17.731063
54.884135,9.471434
54.982318,17.062143
55.080501,16.716955
55.178683,24.935548
55.276866,2.249238
55.375049,10.324683
55.473232,-0.063374
55.571414,-4.397437
55.669597,-4.453165
55.767780,-19.864063
55.865962,-7.859053
55.964145,6.898786
56.062328,-6.012168
56.160511,3.602214
56.258693,-13.935330
56.356876,-25.322055
56.455059,9.974710
56.553241,-5.129522
56.651424,3.069152
56.749607,-21.664417
56.847790,-10.817308
56.945972,-7.106816
57.044155,-13.642696
57.142338,-5.112286
57.240520,-1.293699
57.338703,-10.403197
57.436886,15.737123
57.535069,20.911297
57.633251,2.150680
57.731434,2.061054
57.829617,1.849460
57.927799,-9.869797
58.025982,0.611361
58.124165,1.040419
58.222347,-18.484194
58.320530,-8.660534
58.418713,-6.446516
58.516896,-16.765454
58.615078,-10.391522
58.713261,-22.453071
58.811444,-5.908259
58.909626,13.365814
59.007809,0.951001
59.105992,8.200105
59.204175,-15.575439
59.302357,0.081668
59.400540,-5.508005
59.498723,0.565059
59.596905,-1.849327
59.695088,-2.643398
59.793271,-7.384182
59.891454,-14.918077
59.989636,-13.607137
60.087819,-25.449731
60.186002,-10.403513
60.284184,-17.949058
60.382367,-13.467016
60.480550,-26.073721
60.578733,-18.065244
60.676915,-4.449402
60.775098,-15.431308
60.873281,-4.924401
60.971463,-4.547937
61.069646,-9.077977
61.167829,3.819251
61.266012,2.054012
61.364194,6.217177
61.462377,-6.022822
61.560560,-4.409242
61.658742,-6.276168
61.756925,-1.868246
61.855108,-2.279573
61.953290,1.583325
62.051473,0.148413
62.149656,-8.678599
62.247839,-5.167121
62.346021,-7.068710
62.444204,-0.661310
62.542387,-14.969531
62.640569,-5.108025
62.738752,-7.273716
62.836935,-10.222333
62.935118,-15.321080
63.033300,-0.022303
63.131483,2.616525
63.229666,0.005554
63.327848,5.794534
63.426031,-0.094429
63.524214,-5.530004
63.622397,-25.666852
63.720579,-18.254882
63.818762,-13.306247
63.916945,-12.907302
64.015127,-18.345107
64.113310,-12.404789
64.211493,-20.076931
64.309676,-17.854708
64.407858,-16.953118
64.506041,-16.792697
64.604224,-1.347267
64.702406,-22.593314
64.800589,7.510935
64.898772,-10.864748
64.996955,-3.926089
65.095137,-25.649955
65.193320,-24.181108
