Time(s),Axial drift (nm)
15.407704,41.642409
15.457729,-29.181575
15.507754,-1.862971
15.557779,-34.529876
15.607804,28.744501
15.657829,64.228009
15.707854,48.305465
15.757879,-46.735432
15.807904,49.355982
15.857929,6.059516
15.907954,-24.175866
15.957979,37.473460
16.008004,25.167844
16.058029,15.952298
16.108054,-19.934928
16.158079,25.534249
16.208104,-16.586508
16.258129,-21.772544
16.308154,5.775267
16.358179,29.043442
16.408204,-35.448880
16.458229,-12.964191
16.508254,-9.374263
16.558279,-22.387750
16.608304,-36.451043
16.658329,3.684393
16.708354,31.081200
16.758379,-10.398998
16.808404,36.944972
16.858429,-37.362867
16.908454,-46.638801
16.958479,8.537567
17.008504,71.867184
17.058529,-15.140162
17.108554,54.520118
17.158579,27.691048
17.208604,-53.583208
17.258629,6.640414
17.308654,-31.888074
17.358679,-57.210364
17.408704,82.698485
17.458729,-25.847882
17.508754,-17.320724
17.558779,34.519449
17.608804,-30.689569
17.658829,2.936392
17.708854,41.287301
17.758879,-39.746160
17.808904,17.023134
17.858929,-4.092130
17.908954,-3.126069
17.958979,0.923604
18.009005,-17.191476
18.059030,23.645738
18.109055,52.366351
18.159080,-37.891999
18.209105,-55.847590
18.259130,-17.519576
18.309155,-16.804849
18.359180,-30.630110
18.409205,-8.010201
18.459230,-32.202773
18.509255,7.207254
18.559280,26.343402
18.609305,15.700430
18.659330,31.005563
18.709355,21.982188
18.759380,27.844723
18.809405,-10.263617
18.859430,-24.545027
18.909455,-46.082113
18.959480,-13.224855
19.009505,-11.436315
19.059530,20.934372
19.109555,-16.212087
19.159580,38.632047
19.209605,15.585779
19.259630,16.143121
19.309655,0.995484
19.359680,25.574466
19.409705,26.046712
19.459730,-11.153553
19.509755,-15.761442
19.559780,-18.203698
19.609805,24.054990
19.659830,11.655971
19.709855,7.344464
19.759880,-37.556369
19.809905,-34.042516
19.859930,-11.424360
19.909955,-1.903279
19.959980,-11.178542
20.010005,-33.709146
20.060030,33.423443
20.110055,-29.032602
20.160080,-44.102018
20.210105,0.899615
20.260130,-10.663311
20.310155,10.261044
20.360180,6.274622
20.410205,-47.775796
20.460230,43.708899
20.510255,6.379604
20.560280,-36.882260
20.610305,45.774002
20.660330,-36.542485
20.710355,-38.902026
20.760380,-36.757002
20.810405,53.005886
20.860430,59.981768
20.910455,-23.147197
20.960480,-10.255271
21.010505,-45.242561
21.060530,-30.466359
21.110555,41.693602
21.160580,22.127316
21.210605,-10.139066
21.260630,68.290417
21.310655,-61.509397
21.360680,18.655520
21.410705,92.300701
21.460730,46.972629
21.510755,34.953042
21.560780,38.166642
21.610805,27.287778
21.660830,3.659628
21.710855,64.603926
21.760880,-2.404916
21.810905,50.839475
